outgoing,ingoing,time,added
https://www.facebook.com/Chris-Lewis-Fire-Security-114474851904523,/blog/blind-automation-5-key-benefits-of-automated-blinds,0:03:04,college.police.uk
https://www.gov.uk/government/publications/school-and-college-security/site-security-guidance,/smarthome/system-restoration-and-takeover,0:03:04,
https://www.lutron.com/en-US/Products/Pages/WholeHomeSystems/RadioRA2/Overview.aspx,/smarthome/lighting-systems/,0:03:04,speedsmart.net
https://yougov.co.uk/topics/technology/articles-reports/2018/08/10/almost-quarter-britons-now-own-one-or-more-smart-h,https://www.chrislewis.co.uk/security/cctv/avigilon-authorised-partners,0:03:04,bryantso.com
https://www.gov.uk/data-protection,/blog/benefits-of-upgrading-your-business-security-cameras,0:03:04,opinium.com
https://www.hidglobal.com/doclib/files/resource_files/pacs-state-of-access-control-2021-wp-en.pdf,/blog/an-experts-guide-to-cloud-cctvhttps://www.chrislewis.co.uk/blog/an-experts-guide-to-cloud-cctv,0:03:04,
https://www.lutron.com/en-US/Products/Pages/WholeHomeSystems/Homeworks/Overview.aspx,/blog/everything-you-need-to-know-about-cloud-cctv-storage,0:03:04,
https://www.thefpa.co.uk/sprinkler-services/sprinkler-system-inspections,https://www.chrislewis.co.uk/blog/best-cloud-based-access-control-systems-for-2023,0:03:04,
https://whatworks.college.police.uk/toolkit/Pages/Welcome.aspx,/smarthome/cinema-systems/,0:03:04,
https://www.cisco.com/c/en/us/solutions/collateral/executive-perspectives/annual-internet-report/white-paper-c11-741490.html,/smarthome/maintenance-and-upgrades,0:03:04,
tel:01865%20920949,https://www.chrislewis.co.uk/security/cctv/verkada-authorised-reseller,0:03:04,
http://devwebsites.co.uk/portfolio_category/smart-home/,https://www.chrislewis.co.uk/blog/how-to-build-the-perfect-outdoor-home-cinema,0:03:04,
javascript:;,/blog/cloud-based-security-systems-20-quick-fire-questions-and-answers,0:03:04,
https://www.securitysales.com/access/2020-access-control-deep-dive/,/smarthome/smart-wifi-system,0:03:04,
https://www.nsi.org.uk/company-finder/?scid=&type=quick&familyType=&town-postcode=oxford&Lo=&La=&range=3&search=company&company-name=chris+lewis&regionId=,/blog/what-is-mesh-wifi-and-how-does-it-work,0:03:04,
https://speedsmart.net/app,https://www.chrislewis.co.uk/blog/6-smart-office-technology-trends-for-2023,0:03:04,
https://www.businessleader.co.uk/warehouse-fire-costs-ocado-110m/70262/,https://www.chrislewis.co.uk/blog/why-outdoor-sound-systems-are-essential-for-summer-2023,0:03:04,
https://www.statista.com/chart/21906/zoom-revenue/,https://www.chrislewis.co.uk/blog/5-ways-smart-garden-technology-can-improve-your-home,0:03:04,
https://www.johnsoncontrols.com/-/media/jci/insights/2020/feature-story/files/hq2004001_global-energy-efficiency-indicator-study-v3.pdf?la=en&hash=83BB4546432DDF675947BB8625DA2EF5BEC74F2A,/blog/staying-cosy-all-winter-the-power-of-smart-heating-systems,0:03:04,
https://www.facebook.com/CLSmartHome,/everything-you-need-to-know-about-cctv-systems,0:03:04,
https://azure.microsoft.com/en-gb/services/active-directory/,https://www.chrislewis.co.uk/security/cctv/school-installations/,0:03:04,
https://www.youtube.com/watch?v=TzC8Uw78pWw,/security/commercial-access-control-systems,0:03:04,
https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/bulletins/crimeinenglandandwales/yearendingjune2021,https://www.chrislewis.co.uk/security-systems/commercial-cctv-systems,0:03:04,
https://revoltsexualassault.com/research/,/blog/why-is-my-wifi-so-slow-5-wifi-speed-tips,0:03:04,
https://gdpr-info.eu/,/blog/access-control-systems-the-expensive-mistakes,0:03:04,
https://backlinko.com/netflix-users,/blog/cctv-installations-4-final-considerations,0:03:04,
https://www.blackfog.com/the-state-of-ransomware-in-2021/,https://www.chrislewis.co.uk/blog/cctv-and-uk-law-the-legal-considerations,0:03:04,
https://www.standard.co.uk/hp/front/new-look-fined-ps400-000-after-oxford-street-fire-6760282.html,/blog/best-smart-wifi-system-smart-home,0:03:04,
https://www.bsia.co.uk/publications/video-surveillance/,/blog/how-to-control-your-home-with-smart-home-voice-commands,0:03:04,
https://www.emergenresearch.com/industry-report/cloud-security-market,/blog/how-often-should-fire-suppression-systems-be-inspected,0:03:04,
https://www.okta.com/uk/,https://www.chrislewis.co.uk/security/cctv/maintenance/,0:03:04,
https://ico.org.uk/your-data-matters/domestic-cctv-systems/,/blog/best-cloud-cctv-systems,0:03:04,
"https://www.bryantso.com/your-eye-health/computer-eyestrain/worker-productivity-and-computer-vision-syndrome/#:~:text=Studies%20show%20that%20symptoms%20of,an%20impact%20on%20worker%20productivity.",/blog/an-experts-guide-to-intruder-alarm-monitoring-and-security-response,0:03:04,
